Date,Clicks,Impressions,CTR,Position
2026-05-06,0,718,0%,12.6
2026-05-07,1,553,0.18%,15.3
2026-05-08,1,595,0.17%,15.6
2026-05-09,1,571,0.18%,13.9
2026-05-10,4,569,0.7%,14.8
2026-05-11,4,679,0.59%,24.7
2026-05-12,3,673,0.45%,17.9
2026-05-13,4,674,0.59%,16.7
2026-05-14,5,872,0.57%,17.3
2026-05-15,5,996,0.5%,17.5
2026-05-16,5,939,0.53%,18.6
2026-05-17,5,967,0.52%,14.6
2026-05-18,2,862,0.23%,17.4
2026-05-19,2,720,0.28%,25.7
2026-05-20,3,607,0.49%,23
2026-05-21,2,626,0.32%,23.9
2026-05-22,7,539,1.3%,22.6
2026-05-23,0,606,0%,21.8
2026-05-24,2,764,0.26%,20.8
2026-05-25,5,736,0.68%,24.2
2026-05-26,2,863,0.23%,21.4
2026-05-27,6,855,0.7%,21.5
2026-05-28,1,1001,0.1%,21.3
2026-05-29,6,1017,0.59%,18.2
2026-05-30,8,1327,0.6%,13.3
2026-05-31,7,1630,0.43%,13.6
2026-06-01,4,1222,0.33%,14.2
2026-06-02,3,905,0.33%,15
2026-06-03,8,1040,0.77%,14.4
2026-06-04,5,1226,0.41%,15
2026-06-05,5,1134,0.44%,14.5
2026-06-06,10,1192,0.84%,15.1
2026-06-07,6,1129,0.53%,15
2026-06-08,2,1190,0.17%,13.6
2026-06-09,4,1483,0.27%,12.9
2026-06-10,6,1359,0.44%,12.9
2026-06-11,4,1553,0.26%,14
2026-06-12,2,1173,0.17%,12.2
2026-06-13,3,1689,0.18%,13.5
2026-06-14,7,1831,0.38%,13.3
2026-06-15,5,1823,0.27%,14
2026-06-16,4,2202,0.18%,12.5
2026-06-17,4,2078,0.19%,14.2
2026-06-18,5,1652,0.3%,14.2
2026-06-19,3,1589,0.19%,13
2026-06-20,6,2168,0.28%,16.3
2026-06-21,8,1998,0.4%,13.2
2026-06-22,4,1932,0.21%,13.8
2026-06-23,6,1542,0.39%,12.8
2026-06-24,5,1481,0.34%,13.2
2026-06-25,6,1442,0.42%,13.2
2026-06-26,3,1513,0.2%,12.4
2026-06-27,7,1853,0.38%,13.3
2026-06-28,6,2198,0.27%,12.8
2026-06-29,7,1806,0.39%,11.7
2026-06-30,3,1933,0.16%,11.5
2026-07-01,7,2118,0.33%,11.3
2026-07-02,7,1892,0.37%,11.2
2026-07-03,9,1705,0.53%,11.7
2026-07-04,4,2185,0.18%,12.1
2026-07-05,12,2577,0.47%,11.3
2026-07-06,4,1986,0.2%,12.2
2026-07-07,7,2113,0.33%,11.5
2026-07-08,13,1963,0.66%,10.6
2026-07-09,14,2035,0.69%,11.5
2026-07-10,8,1661,0.48%,11.2
2026-07-11,3,2062,0.15%,12.5
2026-07-12,10,2121,0.47%,11.9
2026-07-13,6,1529,0.39%,13.2
2026-07-14,13,1875,0.69%,11.8
2026-07-15,7,1711,0.41%,11.5
2026-07-16,5,1621,0.31%,12.8
2026-07-17,7,1495,0.47%,11.4
2026-07-18,13,1602,0.81%,11.9
2026-07-19,8,1778,0.45%,11.1
2026-07-20,9,1740,0.52%,10.9
2026-07-21,10,1644,0.61%,11.1
2026-07-22,12,1644,0.73%,10.8
2026-07-23,10,1777,0.56%,12.2
2026-07-24,6,1564,0.38%,10.4
2026-07-25,20,1643,1.22%,9.7
2026-07-26,22,2126,1.03%,10.2
2026-07-27,10,2173,0.46%,10.2
2026-07-28,11,2299,0.48%,10.7
2026-07-29,11,2202,0.5%,11.6
2026-07-30,15,2243,0.67%,11.7
2026-07-31,11,1982,0.55%,10.4
2026-08-01,13,2229,0.58%,10.4
2026-08-02,11,2743,0.4%,11
2026-08-03,18,2531,0.71%,10.8
2026-08-04,19,2261,0.84%,9.9
2026-08-05,14,2302,0.61%,9.9
